child_id,age,gender,home_environment,parent_education,parent_income,mental_health,physical_abuse_record,emotional_abuse_record,attendance_rate,behavioral_issues,father_alcohol_use,mother_alcohol_use,father_smoking_use,mother_smoking_use,abuse_status
51,6,Male,5,3,2,3,0,1,69,1,0,0,1,1,0
52,3,Male,4,4,4,1,0,1,75,0,0,1,1,1,1
53,3,Female,4,3,4,1,0,1,69,1,1,1,0,1,1
54,5,Female,1,5,1,2,0,1,78,1,0,0,0,0,0
55,7,Female,5,5,3,1,1,1,68,0,0,1,1,0,1
56,5,Female,5,3,5,1,1,1,70,1,1,1,0,1,1
57,7,Female,3,1,5,4,0,1,59,0,0,0,1,0,0
58,5,Male,3,1,1,2,0,1,98,1,1,1,1,1,0
59,6,Male,5,2,5,3,0,1,77,1,0,0,1,0,1
60,4,Male,2,1,5,3,0,1,59,1,1,1,0,0,0
61,7,Female,5,5,4,1,0,0,63,1,0,1,0,1,1
62,3,Male,1,3,3,1,1,1,74,0,1,0,0,0,0
63,6,Male,2,1,2,1,0,1,94,0,1,0,1,1,0
64,4,Female,3,4,2,2,0,0,61,0,0,1,1,1,0
65,3,Male,5,2,4,2,1,1,63,0,1,1,1,1,1
66,5,Male,3,3,4,1,1,1,59,1,0,1,0,0,1
67,6,Female,1,4,2,5,1,0,88,1,1,1,0,0,0
68,3,Male,3,2,1,1,0,1,52,1,1,1,1,1,1
69,4,Male,2,5,4,5,0,1,97,0,0,1,1,0,1
70,6,Female,4,5,1,5,1,0,88,0,0,0,0,0,1
71,7,Male,3,4,5,3,1,0,64,0,1,1,1,1,1
72,5,Male,1,1,1,5,0,0,58,1,1,1,0,1,1
73,3,Male,5,5,4,3,1,1,93,0,1,1,0,1,1
74,6,Female,3,2,3,4,0,0,86,0,1,0,1,0,0
75,5,Male,4,3,5,4,1,0,75,1,0,0,1,0,1
76,7,Male,1,3,3,2,1,0,72,1,1,0,0,1,1
77,5,Female,2,2,1,2,0,0,78,1,0,0,1,1,1
78,3,Female,4,5,1,5,1,1,97,1,1,1,1,0,1
79,6,Male,2,2,5,3,1,1,80,0,0,0,0,1,1
80,4,Female,1,4,3,3,0,0,67,1,1,1,1,0,1
81,6,Female,5,1,4,4,0,0,73,0,0,1,1,0,0
82,7,Male,1,3,1,1,1,1,61,0,1,0,0,1,0
83,4,Female,3,2,4,1,1,0,91,1,1,1,0,1,1
84,7,Female,3,4,2,5,1,1,97,1,1,1,1,0,1
85,4,Female,5,5,3,4,0,1,66,0,1,1,1,1,0
86,3,Female,2,4,2,2,0,1,91,0,0,1,1,0,1
87,5,Female,1,2,1,5,1,1,93,1,1,1,1,0,1
88,3,Female,4,5,4,5,1,1,95,0,1,1,0,0,1
89,5,Female,2,1,1,3,0,0,54,1,0,1,1,1,0
90,3,Male,5,5,2,5,0,0,80,0,0,0,1,0,0
91,6,Female,4,5,5,3,0,1,91,0,0,1,1,0,1
92,4,Female,3,4,5,2,1,1,76,1,1,0,1,0,1
93,4,Female,2,1,4,5,0,0,77,0,1,1,0,0,1
94,6,Male,2,4,5,4,1,0,91,0,1,1,1,0,1
95,4,Female,5,4,5,3,1,1,89,0,0,1,1,1,1
96,7,Male,3,1,5,3,1,1,55,1,1,1,0,0,0
97,6,Female,5,2,3,5,0,1,57,0,1,1,1,1,0
98,7,Male,1,2,4,5,1,1,77,0,1,0,1,1,1
99,6,Male,1,1,1,1,0,0,56,0,1,0,0,1,1
100,3,Male,4,2,3,1,0,0,84,1,0,1,0,0,0
101,3,Female,1,5,4,5,1,1,63,1,0,0,1,1,1
102,5,Female,1,5,5,2,0,0,88,0,1,0,0,1,1
103,5,Male,2,5,3,4,0,0,77,1,0,1,1,0,0
104,4,Male,2,4,4,1,0,1,75,1,1,0,1,1,1
105,5,Female,2,2,5,2,1,1,68,1,0,0,0,1,1
106,4,Female,4,5,5,3,1,0,88,1,1,1,1,0,1
107,7,Male,5,1,4,2,1,1,93,1,0,0,1,1,1
108,4,Female,2,5,1,1,0,1,90,1,1,1,0,1,1
109,4,Male,2,2,2,4,0,1,73,0,1,0,0,0,1
110,3,Male,3,2,4,2,1,1,77,1,1,0,0,1,1
111,6,Male,5,1,3,3,0,1,83,0,0,1,1,0,1
112,3,Male,2,4,3,2,1,0,76,1,1,1,1,0,0
113,4,Female,3,1,3,2,0,0,72,1,1,0,0,0,1
114,6,Female,4,4,2,5,1,0,89,1,0,0,1,1,1
115,3,Female,1,3,2,3,0,1,88,1,1,0,0,1,1
116,7,Male,1,1,1,3,0,1,52,1,1,0,0,1,1
117,4,Female,4,2,4,3,1,0,73,1,0,1,1,1,1
118,5,Male,1,5,2,4,0,1,67,1,0,1,1,0,0
119,3,Male,2,2,4,1,0,0,94,1,1,1,1,1,0
120,5,Male,2,3,2,3,0,0,56,1,1,1,1,1,0
121,4,Male,2,1,2,2,1,0,60,1,1,1,1,1,1
122,5,Male,3,3,5,3,1,0,87,0,1,0,0,1,0
123,6,Male,2,3,3,1,0,1,67,0,1,1,1,0,1
124,6,Male,1,1,3,1,1,1,70,0,1,0,0,1,1
125,4,Female,5,1,5,5,0,1,58,0,0,0,0,1,0
126,6,Female,5,1,2,2,1,0,60,1,0,0,1,0,1
127,4,Male,1,5,5,1,0,0,99,1,0,1,1,1,0
128,6,Male,1,2,3,5,0,1,84,0,0,1,0,0,1
129,5,Male,3,2,1,4,0,0,89,1,0,0,0,0,1
130,3,Male,5,3,2,2,0,1,69,1,0,1,1,1,0
131,7,Male,1,2,3,5,1,1,74,1,0,1,0,0,1
132,6,Female,3,3,4,2,1,1,74,0,0,1,1,0,0
133,3,Female,3,2,1,4,0,0,62,0,0,1,1,1,1
134,7,Female,4,2,3,4,1,1,76,0,1,0,0,0,1
135,5,Male,3,3,3,1,1,0,82,1,0,1,1,0,1
136,3,Female,5,2,3,1,1,1,98,0,0,1,0,1,1
137,5,Female,2,5,1,2,1,0,56,0,1,1,1,0,0
138,4,Male,5,5,1,1,0,0,64,0,1,0,0,0,1
139,3,Male,1,5,1,2,0,0,89,0,0,1,1,0,0
140,3,Male,3,1,2,2,1,1,72,0,0,1,0,0,0
141,3,Male,4,4,2,4,0,1,71,0,0,1,0,1,0
142,3,Male,1,5,2,3,0,0,100,0,1,1,1,1,1
143,3,Male,2,1,2,1,1,1,93,0,0,0,1,1,1
144,7,Male,4,3,2,4,1,1,71,1,1,1,0,1,0
145,3,Female,3,1,5,4,0,0,58,1,1,1,0,0,1
146,6,Male,1,3,4,3,1,0,70,0,0,0,1,0,0
147,3,Male,2,5,1,4,0,0,93,0,0,0,1,0,0
148,3,Female,4,5,1,3,1,0,56,0,1,1,1,1,1
149,6,Female,3,2,5,4,1,1,83,0,1,0,1,0,0
150,7,Male,1,3,3,2,1,1,57,1,1,1,0,0,1
151,6,Female,5,1,4,1,1,1,64,0,0,1,1,0,0
152,5,Male,4,3,3,3,0,0,96,0,1,1,1,1,1
153,6,Male,4,5,5,4,1,0,79,1,1,0,0,1,0
154,3,Male,3,3,2,5,0,0,61,1,1,0,1,1,1
155,6,Female,2,3,3,5,0,0,61,1,0,0,0,0,0
156,6,Female,4,1,3,2,1,1,70,1,0,1,1,0,0
157,3,Female,3,5,2,5,1,0,56,1,0,1,1,1,0
158,5,Male,4,1,5,4,0,0,96,0,1,0,1,1,0
159,4,Male,2,2,2,5,0,1,86,0,0,0,1,1,0
160,5,Female,4,5,5,3,1,1,60,1,1,1,1,0,0
161,7,Female,4,5,1,1,1,0,57,1,1,1,0,1,0
162,3,Male,1,3,1,1,0,0,62,0,1,0,0,0,1
163,5,Male,1,5,1,3,0,1,65,0,0,1,1,0,1
164,6,Female,5,3,2,2,1,0,53,0,0,1,0,1,1
165,6,Female,2,1,3,4,1,1,60,1,1,1,0,1,1
166,4,Female,4,2,2,3,0,1,54,0,1,0,0,1,1
167,4,Female,1,4,3,3,0,0,76,0,0,0,0,1,0
168,5,Male,2,1,1,2,1,0,63,0,1,1,0,0,0
169,6,Male,3,1,5,4,0,0,71,0,0,1,0,0,1
170,5,Male,4,3,3,5,0,1,92,1,1,1,0,0,1
171,5,Male,4,1,1,5,0,0,78,1,0,0,0,1,1
172,5,Female,3,5,2,2,1,0,75,1,0,1,0,0,0
173,7,Female,2,5,3,4,0,1,78,1,1,0,1,1,1
174,7,Female,3,5,2,2,1,0,71,1,0,1,1,0,0
175,3,Male,5,2,3,3,1,0,79,0,1,1,1,1,1
176,5,Male,4,1,5,2,0,1,70,0,1,1,1,1,1
177,7,Female,2,1,3,1,0,0,53,0,0,1,1,1,1
178,5,Male,5,3,2,5,0,0,64,0,1,1,0,0,0
179,6,Female,4,4,5,3,0,1,75,0,0,1,1,0,0
180,7,Male,4,2,1,4,0,1,86,0,0,0,1,0,0
181,5,Male,2,5,3,3,1,0,84,1,1,1,0,1,0
182,4,Female,5,3,3,1,1,1,60,0,0,0,1,0,1
183,3,Female,3,5,5,5,1,1,99,0,1,0,1,0,1
184,5,Female,4,2,5,5,1,1,56,0,0,1,1,0,0
185,6,Female,1,4,5,1,0,1,57,1,0,1,1,1,1
186,4,Male,3,4,5,3,1,0,75,1,1,1,0,1,0
187,5,Female,1,3,3,5,0,1,76,0,0,1,0,0,1
188,4,Female,4,5,1,5,1,1,51,1,0,0,1,1,1
189,5,Male,1,1,2,2,0,0,69,0,0,1,0,1,0
190,4,Male,3,1,3,5,0,1,75,0,0,1,0,1,0
191,3,Female,3,2,1,4,0,1,95,1,0,1,1,1,1
192,5,Female,5,3,4,4,0,0,91,0,0,0,0,0,1
193,6,Female,4,4,1,2,1,1,92,0,1,1,0,1,1
194,7,Female,2,5,4,5,0,1,51,1,0,0,1,1,0
195,3,Female,1,1,2,4,1,1,65,0,0,1,0,0,1
196,6,Female,3,1,5,4,1,1,85,0,1,1,1,1,1
197,4,Female,5,5,1,4,1,1,59,1,1,0,0,0,0
198,7,Male,3,5,1,1,1,1,95,1,0,0,1,1,1
199,6,Female,5,1,1,5,1,0,92,1,1,0,1,1,1
200,4,Male,2,4,2,2,1,1,83,0,1,1,1,0,0
201,6,Female,2,2,4,4,1,0,78,0,1,1,0,1,1
202,5,Male,4,1,2,3,0,1,97,1,0,1,1,0,1
203,3,Male,4,3,1,5,1,1,50,1,1,0,0,1,1
204,5,Female,2,1,4,2,0,0,74,1,0,1,0,1,0
205,6,Female,2,1,1,1,0,0,100,0,1,1,0,1,1
206,5,Male,3,3,2,5,0,0,89,0,1,1,0,1,1
207,4,Male,1,5,5,1,0,0,63,1,0,1,1,0,1
208,7,Female,2,3,2,5,0,0,56,0,0,0,1,1,1
209,7,Male,1,3,1,4,1,1,74,0,0,0,0,0,1
210,7,Female,1,3,5,4,0,0,91,0,1,0,1,0,1
211,4,Male,4,1,1,1,1,0,66,0,1,1,0,0,1
212,5,Female,4,3,1,5,1,0,52,0,1,0,0,1,0
213,3,Female,2,1,1,4,1,0,60,1,1,0,0,1,1
214,4,Female,5,1,1,3,1,1,72,0,1,1,0,0,1
215,3,Female,3,3,3,1,1,0,80,1,1,1,0,0,1
216,4,Female,3,1,1,2,1,0,99,1,0,1,1,0,1
217,3,Female,3,1,2,1,0,0,68,1,0,1,1,1,0
218,3,Male,2,2,3,2,1,1,51,1,0,1,1,1,0
219,5,Female,1,4,3,5,1,0,63,1,0,1,0,0,1
220,3,Male,4,2,4,5,0,1,73,1,0,0,1,0,0
221,7,Female,1,4,5,2,0,0,79,0,1,1,0,1,1
222,7,Male,3,2,4,2,0,0,64,0,0,0,1,0,0
223,3,Male,5,4,3,3,0,0,98,1,1,1,1,0,0
224,3,Male,1,5,2,3,0,0,65,1,1,1,0,1,1
225,7,Female,3,5,4,3,0,1,56,0,1,0,0,1,1
226,5,Female,4,2,5,1,0,0,94,0,1,1,1,0,0
227,7,Female,3,2,4,3,1,1,80,0,1,1,0,1,1
228,6,Female,5,2,5,2,1,0,50,0,1,1,1,1,0
229,5,Male,3,1,3,5,1,0,79,1,0,0,0,0,1
230,4,Male,2,4,4,1,1,1,83,1,1,1,1,0,1
231,7,Female,4,3,5,1,0,1,98,1,0,0,0,0,0
232,6,Female,5,3,1,1,0,0,69,1,1,0,0,0,0
233,7,Male,4,4,5,3,0,1,93,0,0,1,1,1,0
234,3,Female,5,1,5,3,0,0,86,1,1,1,1,1,1
235,7,Male,1,3,1,3,0,0,77,0,0,0,0,0,0
236,6,Male,3,3,4,4,0,0,57,1,0,0,1,0,1
237,4,Male,4,5,2,2,0,0,62,0,1,1,0,0,1
238,3,Male,3,2,2,4,0,1,74,0,0,0,1,0,0
239,6,Male,4,3,4,3,0,0,66,0,1,1,1,1,0
240,4,Male,4,2,3,5,1,0,88,1,1,1,1,1,0
241,7,Male,5,4,1,3,0,1,64,0,1,1,1,0,1
242,3,Male,5,3,4,1,0,0,89,1,1,0,0,0,1
243,7,Female,3,1,3,2,1,1,55,1,0,0,1,0,1
244,7,Female,1,4,3,4,0,1,79,1,0,1,1,0,0
245,6,Female,4,3,1,3,1,1,62,0,1,1,0,0,1
246,6,Male,4,4,1,5,0,0,99,1,1,1,0,0,0
247,3,Male,1,1,4,2,0,0,65,0,0,1,1,1,0
248,5,Female,5,5,5,3,0,1,78,1,1,1,0,1,1
249,3,Male,5,5,4,4,0,1,88,0,1,1,1,1,0
250,4,Male,2,1,3,1,0,1,71,1,1,1,1,1,1
251,6,Male,5,1,1,1,0,0,69,1,0,0,1,0,0
252,4,Male,1,3,5,5,0,0,67,0,1,1,0,0,1
253,6,Male,2,5,3,3,0,0,71,0,0,1,0,0,1
254,3,Male,1,5,5,5,0,0,87,1,0,1,1,1,0
255,4,Female,5,2,4,5,0,0,79,1,1,0,1,1,1
256,5,Female,1,4,1,4,0,1,73,1,1,0,0,0,1
257,6,Male,2,3,3,1,0,1,70,1,1,0,1,0,0
258,6,Male,2,3,2,3,1,0,65,0,0,0,0,0,0
259,5,Female,3,3,4,1,0,1,80,1,1,1,0,0,0
260,4,Male,2,5,3,5,0,1,57,0,0,1,1,0,0
261,4,Male,1,4,5,2,0,1,95,1,1,1,1,0,1
262,3,Female,5,5,3,2,0,0,65,0,1,0,1,1,0
263,7,Female,4,5,4,3,1,0,100,1,0,1,1,0,1
264,4,Female,1,3,5,1,0,0,67,1,0,1,1,1,1
265,7,Male,5,5,2,5,1,0,64,1,0,0,0,1,0
266,3,Female,3,4,2,3,1,0,75,1,0,0,1,1,1
267,6,Female,5,4,3,2,0,1,76,0,0,0,1,0,1
268,3,Male,2,1,1,4,1,1,55,0,1,1,1,0,0
269,4,Female,2,5,4,2,0,1,94,1,0,0,1,1,1
270,5,Male,3,5,2,4,1,1,61,1,1,1,0,1,1
271,7,Female,5,2,4,1,1,0,85,1,1,1,0,0,1
272,5,Female,4,4,5,5,0,0,95,1,0,1,0,0,1
273,6,Male,3,1,4,4,0,0,61,0,0,0,0,0,0
274,4,Female,1,1,1,4,1,1,72,0,1,0,0,1,0
275,5,Male,3,2,1,5,1,0,92,1,1,0,0,1,0
276,7,Male,3,3,3,3,0,1,74,0,1,0,1,0,0
277,3,Male,1,2,1,2,0,0,94,0,0,1,1,1,1
278,4,Female,3,3,1,5,0,0,56,0,1,1,1,1,1
279,4,Male,1,3,2,1,0,0,76,1,1,1,0,1,0
280,3,Female,2,2,2,5,0,1,50,0,0,0,1,0,1
281,5,Male,1,3,1,5,1,1,54,1,0,1,0,0,1
282,3,Female,3,5,5,1,0,0,52,1,1,0,1,0,0
283,7,Female,2,3,2,5,0,0,91,1,1,1,1,0,0
284,5,Female,1,1,5,1,0,1,77,1,1,1,1,1,0
285,4,Male,3,2,3,1,1,0,96,0,0,0,0,0,1
286,3,Male,1,1,3,2,0,0,52,1,1,1,0,1,1
287,7,Female,2,5,3,5,0,0,95,0,0,1,0,1,0
288,4,Female,3,4,5,1,0,1,92,0,1,0,0,1,1
289,3,Male,5,1,4,4,0,0,94,1,1,1,0,1,0
290,3,Female,2,5,4,5,0,0,54,0,1,1,0,1,1
291,6,Male,3,4,2,1,1,1,86,0,0,0,1,0,0
292,4,Female,1,4,1,3,1,1,69,0,0,1,0,1,1
293,3,Male,5,1,3,4,1,0,86,0,1,1,0,0,1
294,5,Male,4,2,2,1,0,0,59,1,0,1,0,0,0
295,5,Male,4,2,5,5,1,1,82,1,1,0,0,0,0
296,6,Female,1,3,2,1,0,0,66,0,1,1,1,0,1
297,3,Female,2,1,1,3,0,0,72,1,1,0,1,1,0
298,5,Female,2,3,3,4,1,0,65,1,0,0,0,1,0
299,6,Female,4,4,2,5,0,0,78,0,1,1,1,0,0
300,3,Female,3,1,1,5,0,0,59,1,1,0,0,1,0
301,7,Female,3,3,2,4,1,1,65,0,1,0,0,0,1
302,5,Male,2,1,2,1,0,0,90,0,1,0,1,0,0
303,7,Female,4,2,3,3,0,0,99,0,0,0,0,0,1
304,5,Female,2,5,4,3,1,0,95,1,0,1,1,0,1
305,5,Female,3,1,3,5,0,1,94,0,1,0,1,0,1
306,3,Female,3,5,4,1,0,0,98,0,1,0,0,1,1
307,3,Female,3,3,1,3,1,1,52,0,0,0,1,0,0
308,6,Male,4,5,5,5,0,0,89,0,0,0,1,0,0
309,3,Male,3,4,4,5,0,1,83,1,0,1,0,0,0
310,7,Male,5,3,1,1,0,1,97,1,1,1,0,0,0
311,3,Male,1,3,5,5,0,0,59,1,0,1,0,1,0
312,7,Male,5,1,3,4,0,1,56,0,0,0,1,1,0
313,5,Male,4,4,3,1,0,1,62,0,1,0,0,0,1
314,4,Female,2,2,1,2,1,1,90,0,1,0,0,0,1
315,3,Female,1,1,1,2,0,1,83,1,0,0,1,0,1
316,7,Male,2,2,1,4,1,0,93,0,0,1,0,1,0
317,5,Female,5,2,4,3,1,1,52,0,0,1,0,0,0
318,7,Male,2,2,5,4,0,1,75,0,0,1,0,0,0
319,7,Male,2,3,1,2,0,0,99,1,1,0,0,1,1
320,7,Male,2,1,2,3,0,1,67,0,0,0,1,0,1
321,4,Female,2,1,1,3,0,0,82,0,1,1,1,0,1
322,6,Female,1,2,1,3,0,0,93,1,1,0,1,0,1
323,6,Female,2,3,1,4,1,0,94,1,1,0,0,0,1
324,6,Female,4,3,2,5,1,1,88,0,0,0,0,0,0
325,6,Female,1,3,3,4,0,1,62,1,0,1,0,1,1
326,6,Female,3,1,2,1,1,1,77,1,0,0,1,1,0
327,4,Female,1,2,3,3,1,0,67,0,1,1,0,1,1
328,7,Male,1,3,3,2,0,1,87,1,1,0,1,0,1
329,6,Female,2,5,3,5,0,1,51,1,1,1,1,0,0
330,6,Male,1,2,3,1,1,1,62,0,0,1,1,1,0
331,3,Male,2,4,2,3,1,0,57,1,0,1,1,0,1
332,3,Female,1,2,2,5,1,0,73,0,0,1,1,0,1
333,3,Male,2,5,5,3,1,1,92,0,0,1,0,0,1
334,7,Female,3,4,1,4,0,1,97,0,1,1,0,0,0
335,5,Male,1,3,1,1,0,0,58,0,1,0,0,0,0
336,5,Male,1,1,3,5,1,1,73,1,1,1,1,0,0
337,4,Female,3,3,3,5,0,0,57,1,1,1,0,1,1
338,7,Male,2,5,3,2,0,1,82,0,1,0,0,1,1
339,3,Female,1,2,5,4,0,1,87,0,0,1,0,0,1
340,7,Female,4,5,4,3,1,0,84,1,0,1,1,0,0
341,7,Male,4,4,5,5,0,1,57,0,1,0,1,1,1
342,3,Male,5,3,2,2,0,1,72,0,0,0,1,1,1
343,6,Female,4,3,3,3,0,0,65,1,1,0,1,1,0
344,7,Female,2,3,4,3,1,0,82,1,0,0,0,1,0
345,4,Male,2,1,3,4,1,1,95,0,0,1,0,1,0
346,6,Female,1,1,1,1,1,1,59,1,1,1,1,1,0
347,3,Male,3,1,4,4,1,0,84,0,0,0,0,0,0
348,4,Female,5,1,3,5,0,0,74,0,1,0,1,0,0
349,6,Male,1,3,1,3,1,0,91,1,0,1,1,1,0
350,6,Male,5,4,2,3,0,0,60,0,1,1,1,0,1
351,6,Female,5,5,5,3,1,0,64,0,1,1,1,0,1
352,3,Female,5,3,2,3,0,1,66,0,0,1,0,1,0
353,6,Female,5,2,2,1,1,0,81,0,1,1,1,1,0
354,3,Female,5,4,4,1,0,1,100,0,0,1,1,1,0
355,4,Female,1,5,5,5,1,0,97,0,0,1,0,0,1
356,6,Male,1,5,5,1,0,0,76,0,1,0,1,0,0
357,5,Male,5,1,1,3,1,1,96,0,0,1,0,0,0
358,3,Female,4,2,3,1,0,0,75,1,1,1,0,0,1
359,4,Female,5,4,5,3,0,1,80,0,0,0,0,1,0
360,6,Female,4,5,4,2,0,0,53,0,1,1,1,0,0
361,4,Female,1,2,2,4,0,1,66,1,0,0,1,1,0
362,5,Male,5,1,5,3,1,0,84,0,0,0,1,1,0
363,5,Male,3,2,2,1,1,0,66,0,1,0,0,0,0
364,7,Male,2,2,4,1,1,1,77,1,1,1,1,1,0
365,7,Male,3,4,1,3,1,1,57,1,1,0,0,0,0
366,3,Male,1,5,4,2,0,1,99,1,1,1,1,0,1
367,7,Female,1,1,3,4,1,1,83,0,0,0,0,1,1
368,6,Female,1,3,4,2,1,0,50,0,0,1,0,0,1
369,7,Female,4,5,5,4,0,1,50,0,1,1,0,0,0
370,3,Female,1,1,1,5,1,1,76,1,0,1,1,0,1
371,3,Male,4,5,1,2,0,0,73,0,0,1,0,0,1
372,4,Male,3,4,4,1,0,1,98,0,0,0,0,1,0
373,4,Male,3,5,4,1,1,1,90,0,0,0,0,1,0
374,7,Female,2,4,3,4,0,1,77,0,0,1,0,1,0
375,6,Female,1,2,5,2,1,0,64,0,0,0,0,1,1
376,5,Female,5,1,5,1,1,1,54,1,1,1,1,1,0
377,4,Male,2,4,5,3,0,0,71,0,0,1,0,1,1
378,5,Male,4,5,1,4,1,0,60,1,1,0,1,0,0
379,7,Male,4,2,2,1,0,1,76,0,0,1,1,0,0
380,7,Female,1,2,4,5,0,0,55,0,0,1,1,0,0
381,6,Male,4,4,3,2,1,1,80,0,0,0,1,1,0
382,7,Female,4,1,3,1,1,1,93,0,1,0,1,1,1
383,3,Male,3,5,2,4,0,0,65,0,0,0,1,1,1
384,6,Female,4,5,1,1,0,1,83,0,1,1,0,1,0
385,4,Female,4,3,5,1,1,0,58,1,1,1,0,0,0
386,3,Female,1,5,2,4,1,1,70,1,0,1,0,1,1
387,3,Female,5,1,2,3,1,1,69,1,1,1,1,0,1
388,4,Female,2,4,2,3,1,1,85,1,0,0,1,1,0
389,4,Female,2,5,2,2,1,1,52,1,0,1,0,1,1
390,7,Female,3,4,2,4,1,0,51,0,1,0,0,1,1
391,7,Female,4,5,4,2,0,0,89,1,1,0,1,1,1
392,6,Male,1,1,3,4,0,0,88,1,1,0,1,1,1
393,5,Female,4,2,1,5,1,1,85,0,0,1,0,1,1
394,5,Male,1,4,1,3,1,0,59,1,1,1,1,0,0
395,6,Female,4,1,3,5,1,0,77,1,0,0,0,0,0
396,3,Male,1,3,1,5,0,0,54,0,1,0,0,1,0
397,6,Female,5,3,1,4,1,0,100,0,0,1,1,0,1
398,6,Male,5,5,2,1,0,1,88,1,1,0,0,1,1
399,3,Female,5,2,2,2,1,1,78,1,1,1,1,0,1
400,6,Male,3,1,1,5,0,0,81,0,1,1,0,1,1
401,5,Female,1,4,4,1,1,0,78,0,1,1,0,1,1
402,4,Male,5,4,3,4,0,0,79,1,1,0,1,0,0
403,6,Female,1,3,3,5,1,1,72,0,1,0,0,0,1
404,5,Male,1,1,2,4,0,1,88,0,1,0,1,0,1
405,5,Female,5,5,3,5,1,1,79,1,0,0,0,0,1
406,4,Male,2,3,4,3,1,1,51,1,0,1,0,1,0
407,5,Female,4,2,3,5,0,0,78,1,1,1,0,0,0
408,7,Male,1,2,4,5,1,0,52,1,0,1,0,1,1
409,7,Male,5,4,5,5,0,1,99,1,0,1,0,0,0
410,5,Female,4,5,5,1,1,1,90,0,0,1,0,0,0
411,3,Female,3,3,1,5,1,1,95,1,0,0,0,1,0
412,7,Female,3,4,4,1,1,1,96,1,1,0,0,0,0
413,6,Female,2,2,4,2,0,0,61,0,0,0,0,0,0
414,3,Female,3,5,1,1,0,1,80,0,1,1,1,1,1
415,4,Female,4,5,3,5,1,0,94,0,0,1,1,0,1
416,3,Male,1,2,5,1,1,0,68,0,1,1,1,0,1
417,4,Female,4,1,2,2,0,0,98,1,0,0,0,0,1
