연도,시도,아동학대유형_중복학대,아동학대유형_신체학대,아동학대유형_정서학대,아동학대유형_성학대,아동학대유형_방임(유기),추계아동인구(0세~17세),아동학대사례,피해아동 발견율(인구 천명당)
2021,광주광역시,160,120,55,17,45,"258,507","1,200",4.64
2021,대전광역시,180,90,95,9,95,"249,535",900,3.62
2021,울산광역시,210,85,95,11,100,"200,753","1,030",5.15
2021,경기도,"1,670",770,640,145,510,"2,212,650","7,100",3.23
2021,강원특별자치도,320,180,190,22,130,"222,823","1,450",6.5
2021,충청북도,425,85,140,44,145,"246,673","1,030",4.14
2021,충청남도,385,100,130,27,200,"341,970","1,600",4.67
2021,전라북도,470,105,230,65,260,"274,270","1,840",6.7
2021,전라남도,390,155,140,90,250,"261,295","2,050",7.85
2021,경상북도,420,110,205,46,285,"379,701","2,060",5.43
2021,경상남도,495,170,185,29,125,"540,837","1,490",2.75
2021,제주특별자치도,170,55,100,12,50,"117,200",430,3.67
2022,서울특별시,750,440,320,70,240,"1,282,607","2,800",2.18
2022,부산광역시,310,190,140,50,130,"478,500","2,200",4.6
2022,대구광역시,230,120,110,15,95,"379,800","1,550",4.1
2022,인천광역시,360,140,90,12,180,"467,470","1,500",3.3
2022,광주광역시,170,130,60,18,50,"257,658","1,220",4.74
2022,대전광역시,190,95,100,10,100,"249,750",920,3.7
2022,울산광역시,220,90,100,12,110,"201,000","1,050",5.25
2022,경기도,"1,690",780,650,150,520,"2,210,000","7,200",3.25
2022,강원특별자치도,330,190,200,23,140,"223,005","1,470",6.55
2022,충청북도,435,90,145,45,150,"246,815","1,050",4.2
2022,충청남도,395,105,135,30,210,"342,315","1,620",4.7
2022,전라북도,480,110,235,67,270,"274,651","1,850",6.8
2022,전라남도,400,160,145,95,260,"261,788","2,070",7.9
2022,경상북도,430,115,210,47,290,"380,064","2,080",5.46
2022,경상남도,505,175,190,30,130,"541,320","1,500",2.8
2022,제주특별자치도,175,60,105,13,55,"117,400",440,3.75
2023,서울특별시,780,460,330,72,250,"1,272,000","2,900",2.28
2023,부산광역시,320,200,150,55,140,"479,000","2,300",4.7
2023,대구광역시,240,130,120,16,100,"380,000","1,600",4.2
2023,인천광역시,370,150,95,13,190,"466,400","1,520",3.35
2023,광주광역시,180,140,65,19,55,"257,900","1,250",4.85
2023,대전광역시,200,100,105,11,110,"250,000",940,3.8
2023,울산광역시,230,95,105,13,115,"201,400","1,070",5.3
2023,경기도,"1,710",790,660,155,530,"2,208,000","7,300",3.3
2023,강원특별자치도,340,200,210,24,150,"223,180","1,490",6.6
2023,충청북도,445,95,150,47,155,"247,050","1,060",4.3
2023,충청남도,405,110,140,32,220,"342,600","1,630",4.8
2023,전라북도,490,115,240,68,280,"274,800","1,860",6.9
2023,전라남도,410,165,150,97,270,"261,900","2,080",8
2023,경상북도,440,120,215,48,295,"380,200","2,100",5.5
2023,경상남도,515,180,195,31,135,"541,500","1,510",2.85
2023,제주특별자치도,180,65,110,14,60,"117,600",450,3.83
